ID,Start Date,Start Time,offensegroup,OFFENSE
0,03/07/2022,18:14:00,violent,robbery
1,03/20/2022,22:27:00,property,motor vehicle theft
2,03/26/2022,18:33:00,property,theft f/auto
3,03/07/2022,21:31:00,violent,robbery
4,03/26/2022,21:46:00,property,theft/other
5,03/26/2022,22:03:00,property,theft/other
6,03/26/2022,21:45:00,property,theft/other
7,03/26/2022,23:58:00,property,motor vehicle theft
8,03/07/2022,21:10:00,property,motor vehicle theft
9,03/07/2022,22:33:00,property,theft/other
10,03/13/2022,18:17:00,property,motor vehicle theft
11,03/10/2022,20:52:00,property,theft f/auto
12,03/13/2022,19:30:00,property,theft/other
13,03/13/2022,23:01:00,property,theft/other
14,02/22/2022,22:04:00,violent,robbery
15,02/22/2022,23:15:00,violent,robbery
16,03/14/2022,02:13:00,property,burglary
17,03/14/2022,03:04:00,property,motor vehicle theft
18,03/19/2022,22:55:00,property,motor vehicle theft
19,03/19/2022,06:30:00,property,theft f/auto
20,02/19/2022,17:00:00,property,theft/other
21,03/25/2022,21:40:00,violent,robbery
22,03/25/2022,22:53:00,violent,robbery
23,03/25/2022,23:50:00,violent,robbery
24,03/26/2022,00:30:00,violent,assault w/dangerous weapon
25,02/22/2022,13:00:00,property,theft/other
26,03/20/2022,11:34:00,property,motor vehicle theft
27,03/25/2022,22:15:00,property,theft/other
28,03/26/2022,05:10:00,property,theft f/auto
29,03/26/2022,04:53:00,property,burglary
30,03/29/2022,16:30:00,property,theft f/auto
31,02/22/2022,10:37:00,property,theft/other
32,02/28/2022,18:30:00,property,theft f/auto
33,03/01/2022,14:38:00,property,theft/other
34,02/27/2022,17:45:00,property,theft/other
35,02/24/2022,15:37:00,property,theft/other
36,02/22/2022,20:42:00,violent,robbery
37,03/01/2022,21:30:00,property,theft/other
38,03/08/2022,10:50:00,property,theft/other
39,04/01/2022,12:25:00,property,theft f/auto
40,03/30/2022,12:45:00,property,theft/other
41,03/28/2022,16:49:00,property,theft/other
42,02/22/2022,16:56:00,property,theft/other
43,02/26/2022,22:00:00,property,theft f/auto
44,02/28/2022,12:00:00,property,theft/other
45,03/01/2022,07:00:00,property,theft/other
46,03/08/2022,13:48:00,property,theft/other
47,03/07/2022,15:30:00,property,theft/other
48,03/01/2022,11:23:00,violent,assault w/dangerous weapon
49,03/08/2022,04:48:00,violent,robbery
50,03/20/2022,20:11:00,violent,robbery
51,03/14/2022,16:12:00,property,motor vehicle theft
52,02/25/2022,15:38:00,property,theft/other
53,02/27/2022,22:30:00,property,theft f/auto
54,03/07/2022,15:00:00,property,theft/other
55,03/11/2022,16:20:00,property,theft/other
56,03/14/2022,19:28:00,property,theft f/auto
57,03/14/2022,21:39:00,property,theft/other
58,03/20/2022,20:12:00,property,theft/other
59,03/08/2022,05:45:00,violent,robbery
60,03/08/2022,06:10:00,violent,assault w/dangerous weapon
61,03/20/2022,20:00:00,property,theft f/auto
62,03/07/2022,03:10:00,property,burglary
63,02/22/2022,16:30:00,property,theft f/auto
64,03/14/2022,11:04:00,property,theft/other
65,03/14/2022,03:00:00,property,motor vehicle theft
66,05/12/2022,12:00:00,property,theft f/auto
67,03/14/2022,13:43:00,property,theft/other
68,03/26/2022,15:20:00,violent,robbery
69,03/20/2022,18:06:00,property,motor vehicle theft
70,03/26/2022,13:13:00,property,theft/other
71,03/25/2022,15:00:00,property,theft f/auto
72,03/26/2022,16:14:00,property,theft f/auto
73,04/01/2022,20:41:00,property,theft/other
74,04/01/2022,21:32:00,property,motor vehicle theft
75,04/01/2022,22:05:00,property,motor vehicle theft
76,04/01/2022,14:40:00,property,burglary
77,04/02/2022,03:50:00,property,theft/other
78,03/15/2022,02:11:00,property,theft/other
79,03/15/2022,03:27:00,property,burglary
80,03/15/2022,06:46:00,property,theft/other
81,03/15/2022,09:00:00,violent,robbery
82,02/19/2022,04:20:00,violent,assault w/dangerous weapon
83,03/14/2022,22:00:00,property,theft f/auto
84,03/15/2022,04:10:00,property,burglary
85,03/14/2022,22:45:00,property,motor vehicle theft
86,03/15/2022,07:49:00,property,theft/other
87,03/15/2022,10:06:00,property,theft f/auto
88,03/21/2022,08:50:00,property,burglary
89,03/15/2022,13:00:00,property,theft f/auto
90,02/19/2022,06:16:00,property,motor vehicle theft
91,02/19/2022,04:15:00,property,theft/other
92,02/19/2022,04:42:00,property,theft f/auto
93,02/18/2022,17:30:00,property,theft/other
94,02/19/2022,09:22:00,property,theft/other
95,02/19/2022,01:00:00,property,theft f/auto
96,02/24/2022,19:30:00,property,theft f/auto
97,02/24/2022,16:00:00,property,theft/other
98,03/21/2022,10:40:00,property,motor vehicle theft
99,03/16/2022,16:29:00,violent,assault w/dangerous weapon
100,03/21/2022,00:01:00,property,burglary
101,03/24/2022,14:32:00,property,theft/other
102,03/27/2022,00:30:00,property,theft f/auto
103,03/27/2022,11:00:00,property,theft/other
104,03/16/2022,13:00:00,property,motor vehicle theft
105,03/16/2022,17:00:00,property,theft/other
106,03/18/2022,23:00:00,property,theft f/auto
107,03/22/2022,14:20:00,property,theft/other
108,03/21/2022,10:30:00,property,theft f/auto
109,03/27/2022,10:00:00,property,theft f/auto
110,04/03/2022,06:54:00,violent,assault w/dangerous weapon
111,04/02/2022,17:33:00,property,motor vehicle theft
112,04/01/2022,20:45:00,property,theft f/auto
113,04/02/2022,20:36:00,property,theft f/auto
114,04/02/2022,23:55:00,property,theft/other
115,04/03/2022,04:30:00,property,burglary
116,04/03/2022,06:35:00,property,theft/other
117,03/03/2022,14:26:00,property,theft/other
118,03/02/2022,00:15:00,property,theft f/auto
119,03/02/2022,11:00:00,property,theft f/auto
120,02/27/2022,18:00:00,property,theft f/auto
121,03/03/2022,15:33:00,property,theft/other
122,03/02/2022,19:00:00,property,theft f/auto
123,03/03/2022,05:00:00,property,theft/other
124,03/03/2022,19:30:00,property,theft f/auto
125,03/08/2022,13:20:00,property,theft/other
126,03/04/2022,14:22:00,property,theft/other
127,03/09/2022,11:20:00,property,theft/other
128,03/09/2022,16:00:00,property,burglary
129,03/16/2022,12:00:00,property,theft/other
130,03/16/2022,12:31:00,property,theft/other
131,02/18/2022,16:36:00,property,burglary
132,02/24/2022,14:19:00,property,motor vehicle theft
133,02/23/2022,11:30:00,property,theft f/auto
134,02/23/2022,13:40:00,property,theft/other
135,02/24/2022,15:29:00,property,theft/other
136,02/24/2022,16:08:00,property,theft/other
137,02/24/2022,15:55:00,property,motor vehicle theft
138,02/24/2022,17:20:00,property,theft f/auto
139,04/01/2022,20:45:00,property,theft f/auto
140,04/02/2022,14:07:00,property,theft f/auto
141,04/01/2022,12:00:00,property,theft f/auto
142,03/03/2022,06:03:00,violent,homicide
143,02/23/2022,23:00:00,property,theft f/auto
144,02/24/2022,19:50:00,property,theft/other
145,02/24/2022,20:16:00,property,motor vehicle theft
146,03/02/2022,17:46:00,property,theft/other
147,03/03/2022,06:41:00,property,theft/other
148,03/02/2022,19:30:00,property,theft f/auto
149,03/02/2022,22:30:00,property,motor vehicle theft
150,03/03/2022,11:52:00,property,theft/other
151,03/03/2022,10:30:00,property,motor vehicle theft
152,02/16/2022,00:00:00,property,theft/other
153,03/08/2022,14:11:00,property,theft/other
154,03/09/2022,17:00:00,property,motor vehicle theft
155,03/02/2022,12:00:00,property,theft f/auto
156,03/10/2022,00:30:00,property,theft f/auto
