ID,Date,Max Temp (f),Min Temp (f),Avg Temp (f),Total Precipitation (in),Day Condition
0,2022-02-19,49.3,30.4,40.5,0.0,Sunny
1,2022-02-20,45.3,24.3,34.7,0.0,Sunny
2,2022-02-21,60.3,32.9,47.1,0.0,Overcast
3,2022-02-22,56.7,46.6,53.2,0.02,Light drizzle
4,2022-02-23,66.6,47.7,62.0,0.0,Overcast
5,2022-02-24,37.8,33.8,36.9,0.03,Overcast
6,2022-02-25,58.5,33.1,46.5,0.07,Light rain
7,2022-02-26,41.7,28.9,35.6,0.0,Partly cloudy
8,2022-02-27,54.5,32.9,45.2,0.0,Partly cloudy
9,2022-02-28,38.1,26.8,32.9,0.0,Sunny
10,2022-03-01,54.3,31.1,43.5,0.0,Overcast
11,2022-03-02,61.9,40.5,52.0,0.0,Partly cloudy
12,2022-03-03,50.4,39.9,47.7,0.0,Overcast
13,2022-03-04,49.3,29.7,40.0,0.0,Partly cloudy
14,2022-03-05,63.5,35.2,50.1,0.0,Overcast
15,2022-03-06,71.4,55.4,66.1,0.0,Overcast
16,2022-03-07,78.4,59.4,70.6,0.0,Overcast
17,2022-03-08,53.1,41.4,47.5,0.0,Partly cloudy
18,2022-03-09,43.0,39.6,41.4,0.06,Light drizzle
19,2022-03-10,52.0,34.2,44.6,0.0,Partly cloudy
20,2022-03-11,60.1,36.1,49.3,0.0,Overcast
21,2022-03-12,51.1,25.3,40.5,0.19,Moderate rain
22,2022-03-13,42.8,21.9,32.1,0.0,Sunny
23,2022-03-14,54.7,29.1,44.6,0.0,Overcast
24,2022-03-15,63.3,38.5,52.8,0.0,Sunny
25,2022-03-16,64.0,47.1,57.0,0.0,Overcast
26,2022-03-17,55.2,48.2,52.3,0.09,Light rain
27,2022-03-18,68.7,48.4,60.9,0.0,Mist
28,2022-03-19,74.8,55.0,67.7,0.0,Overcast
29,2022-03-20,53.6,48.9,50.8,0.0,Patchy rain possible
30,2022-03-21,68.9,44.1,58.5,0.0,Sunny
31,2022-03-22,64.0,48.9,57.6,0.0,Cloudy
32,2022-03-23,55.6,48.6,51.2,0.3,Moderate rain
33,2022-03-24,67.6,60.6,66.2,0.03,Patchy rain possible
34,2022-03-25,60.4,48.6,55.4,0.0,Overcast
35,2022-03-26,55.0,44.1,49.1,0.01,Light rain shower
36,2022-03-27,48.2,34.3,41.8,0.0,Overcast
37,2022-03-28,47.3,28.2,38.5,0.0,Overcast
38,2022-03-29,50.7,27.7,38.9,0.0,Partly cloudy
39,2022-03-30,59.0,38.1,47.9,0.02,Light drizzle
40,2022-03-31,75.0,57.7,67.0,0.04,Light rain shower
41,2022-04-01,60.6,45.9,56.2,0.03,Overcast
42,2022-04-02,59.0,36.7,49.6,0.0,Partly cloudy
43,2022-04-03,54.9,45.3,51.8,0.02,Light drizzle
44,2022-04-04,60.3,36.3,49.8,0.0,Partly cloudy
45,2022-04-05,66.6,47.3,58.1,0.12,Overcast
46,2022-04-06,60.8,52.5,56.8,0.2,Fog
47,2022-04-07,55.9,50.5,54.8,0.04,Light rain shower
48,2022-04-08,59.7,44.4,52.7,0.04,Patchy rain possible
49,2022-04-09,54.3,39.4,48.3,0.02,Patchy rain possible
50,2022-04-10,51.4,38.5,46.6,0.0,Overcast
51,2022-04-11,61.9,40.3,53.9,0.0,Overcast
52,2022-04-12,77.4,55.4,67.2,0.0,Patchy rain possible
53,2022-04-13,81.7,56.3,70.0,0.0,Partly cloudy
54,2022-04-14,76.3,61.7,68.6,0.01,Light rain shower
55,2022-04-15,75.0,47.3,63.9,0.0,Sunny
56,2022-04-16,67.3,54.1,62.9,0.0,Partly cloudy
57,2022-04-17,55.4,41.0,48.6,0.0,Sunny
58,2022-04-18,51.1,38.7,46.3,0.05,Light rain
59,2022-04-19,54.5,39.6,48.5,0.04,Patchy rain possible
60,2022-04-20,62.8,37.0,52.4,0.0,Sunny
61,2022-04-21,69.4,45.0,58.7,0.0,Cloudy
62,2022-04-22,71.4,53.6,65.5,0.02,Overcast
63,2022-04-23,70.5,54.3,60.3,0.0,Overcast
64,2022-04-24,86.9,54.1,73.8,0.0,Partly cloudy
65,2022-04-25,84.0,54.0,70.3,0.0,Mist
66,2022-04-26,69.3,58.3,63.7,0.0,Fog
67,2022-04-27,62.8,45.5,55.3,0.02,Sunny
68,2022-04-28,61.3,34.9,50.1,0.0,Sunny
69,2022-04-29,63.9,39.6,54.7,0.0,Partly cloudy
70,2022-04-30,72.3,41.0,60.5,0.0,Sunny
71,2022-05-01,65.3,46.8,56.3,0.12,Light rain
72,2022-05-02,76.1,56.1,68.8,0.01,Fog
73,2022-05-03,75.9,52.5,65.9,0.0,Overcast
74,2022-05-04,72.5,56.5,64.2,0.01,Light rain shower
75,2022-05-05,60.1,55.4,58.0,0.01,Patchy rain possible
76,2022-05-06,60.6,54.9,57.6,0.11,Light rain
77,2022-05-07,52.5,46.9,51.4,0.22,Light rain shower
78,2022-05-08,52.0,43.7,47.4,0.0,Overcast
79,2022-05-09,63.7,44.8,55.6,0.0,Cloudy
80,2022-05-10,69.4,44.1,59.8,0.0,Sunny
81,2022-05-11,71.1,45.9,62.2,0.0,Sunny
82,2022-05-12,75.6,48.4,66.2,0.0,Mist
83,2022-05-13,73.9,59.4,66.3,0.02,Light rain shower
84,2022-05-14,74.7,59.7,67.5,0.12,Light rain shower
85,2022-05-15,87.3,60.1,75.8,0.16,Fog
86,2022-05-16,87.3,61.3,76.1,0.0,Mist
87,2022-05-17,78.8,53.1,69.1,0.0,Partly cloudy
88,2022-05-18,77.2,49.8,67.1,0.0,Partly cloudy
89,2022-05-19,82.6,58.3,74.2,0.02,Fog
90,2022-05-20,94.1,63.7,82.7,0.0,Fog
91,2022-05-21,101.7,68.4,89.8,0.0,Sunny
92,2022-05-22,93.4,69.8,84.5,0.09,Partly cloudy
93,2022-05-23,67.1,57.0,63.3,0.0,Cloudy
94,2022-05-24,64.2,55.6,61.7,0.0,Overcast
95,2022-05-25,70.3,51.8,64.1,0.0,Overcast
96,2022-05-26,68.5,56.8,63.2,0.01,Mist
97,2022-05-27,71.1,66.7,69.2,0.45,Light rain shower
98,2022-05-28,75.4,62.4,69.5,0.09,Light rain shower
99,2022-05-29,85.1,57.0,76.0,0.0,Partly cloudy
100,2022-05-30,97.7,61.7,84.0,0.0,Sunny
101,2022-05-31,100.6,66.7,88.0,0.0,Sunny
102,2022-06-01,93.6,72.1,85.7,0.01,Partly cloudy
103,2022-06-02,87.3,68.0,78.1,0.1,Patchy rain possible
104,2022-06-03,77.4,57.7,70.3,0.05,Partly cloudy
105,2022-06-04,84.2,58.1,74.1,0.0,Sunny
106,2022-06-05,81.7,56.5,72.0,0.0,Sunny
107,2022-06-06,86.4,56.1,76.1,0.0,Sunny
108,2022-06-07,77.0,59.4,69.7,0.01,Patchy rain possible
109,2022-06-08,81.7,66.6,74.8,0.08,Light rain shower
110,2022-06-09,81.9,66.2,75.7,0.03,Mist
111,2022-06-10,83.8,56.8,74.7,0.0,Sunny
112,2022-06-11,80.1,62.4,72.8,0.03,Light rain
113,2022-06-12,89.4,63.5,77.9,0.06,Light rain shower
114,2022-06-13,89.2,68.5,82.3,0.04,Fog
115,2022-06-14,84.2,69.8,77.7,0.16,Light rain shower
116,2022-06-15,96.3,65.5,84.2,0.01,Sunny
117,2022-06-16,87.8,65.7,78.5,0.13,Light rain shower
118,2022-06-17,95.2,70.0,86.5,0.07,Mist
119,2022-06-18,74.1,58.5,66.2,0.0,Overcast
120,2022-06-19,80.1,53.8,70.0,0.0,Sunny
121,2022-06-20,73.6,55.0,64.9,0.0,Overcast
122,2022-06-21,93.9,59.7,80.6,0.0,Partly cloudy
123,2022-06-22,93.0,63.1,78.8,0.21,Light rain shower
124,2022-06-23,87.4,69.1,78.7,0.12,Fog
125,2022-06-24,85.6,59.7,76.5,0.0,Mist
126,2022-06-25,90.9,61.0,80.5,0.0,Sunny
127,2022-06-26,93.2,64.6,83.2,0.0,Partly cloudy
128,2022-06-27,83.1,68.2,75.5,0.0,Overcast
129,2022-06-28,80.1,59.5,72.5,0.0,Overcast
130,2022-06-29,90.1,57.7,79.2,0.0,Partly cloudy
131,2022-06-30,97.9,63.5,85.2,0.0,Sunny
132,2022-07-01,99.0,68.7,84.8,0.0,Partly cloudy
133,2022-07-02,94.8,71.1,81.9,0.24,Moderate rain at times
134,2022-07-03,84.4,67.6,74.3,0.03,Fog
135,2022-07-04,91.4,63.1,80.5,0.0,Sunny
136,2022-07-05,91.6,65.8,79.2,0.07,Light drizzle
137,2022-07-06,84.4,74.7,81.3,0.11,Patchy light rain with thunder
138,2022-07-07,88.0,70.3,80.6,0.07,Light rain shower
139,2022-07-08,89.1,69.6,80.8,0.01,Mist
140,2022-07-09,87.8,69.3,79.8,0.01,Patchy rain possible
141,2022-07-10,83.8,62.8,75.8,0.0,Mist
142,2022-07-11,91.9,60.3,80.1,0.0,Sunny
143,2022-07-12,98.6,68.5,88.0,0.03,Sunny
144,2022-07-13,91.4,69.4,83.4,0.11,Partly cloudy
145,2022-07-14,85.8,67.8,78.8,0.0,Cloudy
146,2022-07-15,87.6,66.7,78.2,0.0,Patchy rain possible
147,2022-07-16,90.5,67.8,80.4,0.05,Light rain shower
148,2022-07-17,93.0,68.4,82.1,0.5,Fog
149,2022-07-18,86.4,68.7,77.8,0.05,Mist
150,2022-07-19,93.2,69.6,83.8,0.0,Partly cloudy
