ID,Date,Hour,Max Temp (f),Min Temp (f),Avg Temp (f),Total Precipitation (in),Day Condition,Hour Temp (f),Hour Condition,Hour Precipitation (in)
0,2022-02-19,12:00AM,49.3,30.4,40.5,0.0,Sunny,34.0,Clear,0.0
1,2022-02-19,1:00AM,49.3,30.4,40.5,0.0,Sunny,33.4,Clear,0.0
2,2022-02-19,2:00AM,49.3,30.4,40.5,0.0,Sunny,32.9,Clear,0.0
3,2022-02-19,3:00AM,49.3,30.4,40.5,0.0,Sunny,32.4,Clear,0.0
4,2022-02-19,4:00AM,49.3,30.4,40.5,0.0,Sunny,32.0,Clear,0.0
5,2022-02-19,5:00AM,49.3,30.4,40.5,0.0,Sunny,31.6,Clear,0.0
6,2022-02-19,6:00AM,49.3,30.4,40.5,0.0,Sunny,31.3,Clear,0.0
7,2022-02-19,7:00AM,49.3,30.4,40.5,0.0,Sunny,31.9,Sunny,0.0
8,2022-02-19,8:00AM,49.3,30.4,40.5,0.0,Sunny,32.6,Sunny,0.0
9,2022-02-19,9:00AM,49.3,30.4,40.5,0.0,Sunny,33.3,Sunny,0.0
10,2022-02-19,10:00AM,49.3,30.4,40.5,0.0,Sunny,37.6,Sunny,0.0
11,2022-02-19,11:00AM,49.3,30.4,40.5,0.0,Sunny,41.9,Sunny,0.0
12,2022-02-19,12:00PM,49.3,30.4,40.5,0.0,Sunny,46.2,Sunny,0.0
13,2022-02-19,1:00PM,49.3,30.4,40.5,0.0,Sunny,47.2,Sunny,0.0
14,2022-02-19,2:00PM,49.3,30.4,40.5,0.0,Sunny,48.3,Sunny,0.0
15,2022-02-19,3:00PM,49.3,30.4,40.5,0.0,Sunny,49.3,Sunny,0.0
16,2022-02-19,4:00PM,49.3,30.4,40.5,0.0,Sunny,46.9,Sunny,0.0
17,2022-02-19,5:00PM,49.3,30.4,40.5,0.0,Sunny,44.6,Sunny,0.0
18,2022-02-19,6:00PM,49.3,30.4,40.5,0.0,Sunny,42.3,Clear,0.0
