ID,Start Date,Start Time,Year,Offense Group,offense,Max Temp (f),Min Temp (f),Avg Temp (f),Total Precipitation (in),Day Condition
0,02/19/2022,01:00:00,2022,property,theft f/auto,49.3,30.4,40.5,0.0,Sunny
1,02/19/2022,01:00:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
2,02/19/2022,02:00:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
3,02/19/2022,02:00:00,2022,property,theft f/auto,49.3,30.4,40.5,0.0,Sunny
4,02/19/2022,03:40:00,2022,property,burglary,49.3,30.4,40.5,0.0,Sunny
5,02/19/2022,04:00:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
6,02/19/2022,04:00:00,2022,violent,robbery,49.3,30.4,40.5,0.0,Sunny
7,02/19/2022,04:15:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
8,02/19/2022,04:20:00,2022,violent,assault w/dangerous weapon,49.3,30.4,40.5,0.0,Sunny
9,02/19/2022,04:42:00,2022,property,theft f/auto,49.3,30.4,40.5,0.0,Sunny
10,02/19/2022,05:00:00,2022,property,motor vehicle theft,49.3,30.4,40.5,0.0,Sunny
11,02/19/2022,05:49:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
12,02/19/2022,06:16:00,2022,property,motor vehicle theft,49.3,30.4,40.5,0.0,Sunny
13,02/19/2022,06:22:00,2022,property,burglary,49.3,30.4,40.5,0.0,Sunny
14,02/19/2022,07:00:00,2022,property,theft f/auto,49.3,30.4,40.5,0.0,Sunny
15,02/19/2022,08:00:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
16,02/19/2022,09:22:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
17,02/19/2022,09:30:00,2022,violent,robbery,49.3,30.4,40.5,0.0,Sunny
18,02/19/2022,09:51:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
19,02/19/2022,10:00:00,2022,property,theft f/auto,49.3,30.4,40.5,0.0,Sunny
20,02/19/2022,11:00:00,2022,property,motor vehicle theft,49.3,30.4,40.5,0.0,Sunny
21,02/19/2022,11:05:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
22,02/19/2022,11:38:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
23,02/19/2022,12:00:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
24,02/19/2022,12:00:00,2022,property,theft f/auto,49.3,30.4,40.5,0.0,Sunny
25,02/19/2022,12:00:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
26,02/19/2022,12:00:00,2022,property,theft f/auto,49.3,30.4,40.5,0.0,Sunny
27,02/19/2022,12:20:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
28,02/19/2022,12:28:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
29,02/19/2022,12:46:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
30,02/19/2022,13:00:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
31,02/19/2022,13:00:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
32,02/19/2022,13:26:00,2022,property,burglary,49.3,30.4,40.5,0.0,Sunny
33,02/19/2022,13:57:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
34,02/19/2022,14:05:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
35,02/19/2022,14:27:00,2022,property,theft f/auto,49.3,30.4,40.5,0.0,Sunny
36,02/19/2022,14:42:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
37,02/19/2022,14:55:00,2022,property,theft f/auto,49.3,30.4,40.5,0.0,Sunny
38,02/19/2022,15:00:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
39,02/19/2022,15:00:00,2022,property,theft f/auto,49.3,30.4,40.5,0.0,Sunny
40,02/19/2022,15:50:00,2022,property,theft f/auto,49.3,30.4,40.5,0.0,Sunny
41,02/19/2022,15:55:00,2022,violent,robbery,49.3,30.4,40.5,0.0,Sunny
42,02/19/2022,16:28:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
43,02/19/2022,16:30:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
44,02/19/2022,16:37:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
45,02/19/2022,16:52:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
46,02/19/2022,17:00:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
47,02/19/2022,17:35:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
48,02/19/2022,18:37:00,2022,violent,robbery,49.3,30.4,40.5,0.0,Sunny
49,02/19/2022,19:10:00,2022,violent,robbery,49.3,30.4,40.5,0.0,Sunny
50,02/19/2022,19:22:00,2022,violent,robbery,49.3,30.4,40.5,0.0,Sunny
51,02/19/2022,19:29:00,2022,violent,homicide,49.3,30.4,40.5,0.0,Sunny
52,02/19/2022,19:30:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
53,02/19/2022,19:42:00,2022,property,motor vehicle theft,49.3,30.4,40.5,0.0,Sunny
54,02/19/2022,20:20:00,2022,property,motor vehicle theft,49.3,30.4,40.5,0.0,Sunny
55,02/19/2022,21:00:00,2022,property,theft f/auto,49.3,30.4,40.5,0.0,Sunny
56,02/19/2022,21:06:00,2022,violent,robbery,49.3,30.4,40.5,0.0,Sunny
57,02/19/2022,21:18:00,2022,property,motor vehicle theft,49.3,30.4,40.5,0.0,Sunny
58,02/19/2022,21:19:00,2022,property,theft f/auto,49.3,30.4,40.5,0.0,Sunny
59,02/19/2022,21:21:00,2022,violent,robbery,49.3,30.4,40.5,0.0,Sunny
60,02/19/2022,21:30:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
61,02/19/2022,21:45:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
62,02/19/2022,21:50:00,2022,violent,robbery,49.3,30.4,40.5,0.0,Sunny
63,02/19/2022,22:00:00,2022,property,theft f/auto,49.3,30.4,40.5,0.0,Sunny
64,02/19/2022,22:25:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
65,02/19/2022,22:28:00,2022,property,theft f/auto,49.3,30.4,40.5,0.0,Sunny
66,02/19/2022,22:40:00,2022,property,motor vehicle theft,49.3,30.4,40.5,0.0,Sunny
67,02/19/2022,23:00:00,2022,property,theft/other,49.3,30.4,40.5,0.0,Sunny
68,02/19/2022,23:00:00,2022,property,theft f/auto,49.3,30.4,40.5,0.0,Sunny
69,02/19/2022,23:00:00,2022,property,theft f/auto,49.3,30.4,40.5,0.0,Sunny
70,02/19/2022,23:08:00,2022,property,motor vehicle theft,49.3,30.4,40.5,0.0,Sunny
71,02/19/2022,23:11:00,2022,property,burglary,49.3,30.4,40.5,0.0,Sunny
72,02/19/2022,23:30:00,2022,property,theft f/auto,49.3,30.4,40.5,0.0,Sunny
73,02/19/2022,23:31:00,2022,violent,assault w/dangerous weapon,49.3,30.4,40.5,0.0,Sunny
74,02/20/2022,00:34:00,2022,property,burglary,45.3,24.3,34.7,0.0,Sunny
75,02/20/2022,01:00:00,2022,property,theft f/auto,45.3,24.3,34.7,0.0,Sunny
76,02/20/2022,01:35:00,2022,property,motor vehicle theft,45.3,24.3,34.7,0.0,Sunny
77,02/20/2022,02:09:00,2022,property,theft/other,45.3,24.3,34.7,0.0,Sunny
78,02/20/2022,02:20:00,2022,violent,robbery,45.3,24.3,34.7,0.0,Sunny
79,02/20/2022,02:31:00,2022,violent,assault w/dangerous weapon,45.3,24.3,34.7,0.0,Sunny
80,02/20/2022,03:57:00,2022,property,motor vehicle theft,45.3,24.3,34.7,0.0,Sunny
